model,dataset,num_records,mean_dice,mean_iou,num_failures,num_no_pred_mask,no_pred_rate,failure_rate
Medical-SAM3,AMOS2022,2357,0.25573328901282916,0.21234809946976113,5,1009,0.4280865507000424,0.0021213406873143827
Medical-SAM3,BraTS,1517,0.4573459102797127,0.3610819981320326,65,150,0.09887936717205009,0.04284772577455504
Medical-SAM3,CHAOS,124,0.4555719245417991,0.3938483854949538,4,30,0.24193548387096775,0.03225806451612903
Medical-SAM3,CMRxMotions,306,0.29201218075643276,0.22251166956764057,0,6,0.0196078431372549,0.0
Medical-SAM3,COVID19,834,0.5385648643589399,0.3950565107364863,3,0,0.0,0.0035971223021582736
Medical-SAM3,Prostate,92,0.1493189496737935,0.09560804709117927,4,0,0.0,0.043478260869565216
Medical-SAM3,SegRap2023,6744,0.13358697008277978,0.10471473125430657,128,1374,0.20373665480427047,0.018979833926453145
MedSAM3-LoRA,AMOS2022,2357,0.14637459763632257,0.09752803653497918,5,12,0.005091217649554518,0.0021213406873143827
MedSAM3-LoRA,BraTS,1517,0.46686780262865124,0.3594245596272672,65,73,0.04812129202373105,0.04284772577455504
MedSAM3-LoRA,CHAOS,124,0.3452766652718667,0.27507290310784677,4,5,0.04032258064516129,0.03225806451612903
MedSAM3-LoRA,CMRxMotions,306,0.47142524550582016,0.341926645780347,0,2,0.006535947712418301,0.0
MedSAM3-LoRA,COVID19,834,0.0761667394432452,0.0626548143990989,3,244,0.29256594724220625,0.0035971223021582736
MedSAM3-LoRA,Prostate,92,0.05272461115788052,0.041656506954936,4,71,0.7717391304347826,0.043478260869565216
MedSAM3-LoRA,SegRap2023,6744,0.21519840882120922,0.17477797449827698,128,772,0.11447212336892053,0.018979833926453145
SAM3,AMOS2022,2357,0.5618474318633558,0.5188687155844873,5,855,0.36274925753075943,0.0021213406873143827
SAM3,BraTS,1517,0.33916425365027203,0.29149190292761074,65,837,0.5517468688200395,0.04284772577455504
SAM3,CHAOS,124,0.5554160029724412,0.526307624191483,4,49,0.3951612903225806,0.03225806451612903
SAM3,CMRxMotions,306,0.7267558257180096,0.6411585773028569,0,23,0.07516339869281045,0.0
SAM3,COVID19,834,0.4761208952842432,0.45449379609492563,3,411,0.49280575539568344,0.0035971223021582736
SAM3,Prostate,92,0.46843060541045073,0.4176643794703736,4,36,0.391304347826087,0.043478260869565216
SAM3,SegRap2023,6744,7.207025945691033e-07,3.6121245819277185e-07,128,6516,0.9661921708185054,0.018979833926453145
