model,dataset,label,count,num_valid,num_errors,num_no_pred_mask,mean_dice,mean_iou,no_pred_rate
Medical-SAM3,AMOS2022,aorta,282,282,0,6,0.5356657883753345,0.47051824684295124,0.02127659574468085
Medical-SAM3,AMOS2022,inferior_vena_cava,214,214,0,133,0.1069501178763773,0.09174012108787019,0.6214953271028038
Medical-SAM3,AMOS2022,duodenum,149,149,0,147,0.007891886355997557,0.005735506119198211,0.9865771812080537
Medical-SAM3,AMOS2022,kidney_right,168,168,0,1,0.2866082305944892,0.19956605883171605,0.005952380952380952
Medical-SAM3,AMOS2022,kidney_left,159,159,0,1,0.4434205214019489,0.3418921571645572,0.006289308176100629
Medical-SAM3,AMOS2022,liver,383,383,0,241,0.25953488774496947,0.22323441662336166,0.6292428198433421
Medical-SAM3,AMOS2022,pancreas,168,168,0,153,0.01926995563299329,0.01473504800289502,0.9107142857142857
Medical-SAM3,AMOS2022,spleen,224,224,0,10,0.5258431097550625,0.4323843416761042,0.044642857142857144
Medical-SAM3,AMOS2022,stomach,259,259,0,88,0.11819422085131981,0.08637793816151886,0.33976833976833976
Medical-SAM3,AMOS2022,adrenal_gland_left,88,88,0,73,0.0002207547151679163,0.00011094802855427313,0.8295454545454546
Medical-SAM3,AMOS2022,gallbladder,92,92,0,21,0.6031450095436722,0.5469505909741375,0.22826086956521738
Medical-SAM3,AMOS2022,adrenal_gland_right,72,72,0,55,0.0,0.0,0.7638888888888888
Medical-SAM3,AMOS2022,esophagus,94,94,0,80,0.012346168826733096,0.009065863819790099,0.851063829787234
Medical-SAM3,BraTS,necrotic_tumor_core,417,417,0,20,0.30061953087854415,0.219465123042486,0.047961630695443645
Medical-SAM3,BraTS,peritumoral_edema,649,649,0,71,0.5788932691642723,0.46589639872541494,0.10939907550077041
Medical-SAM3,BraTS,enhancing_tumor,386,386,0,59,0.42229581777766134,0.3378428554564777,0.15284974093264247
Medical-SAM3,CHAOS,kidney_right,27,27,0,5,0.2398401232025146,0.1772173424317121,0.18518518518518517
Medical-SAM3,CHAOS,kidney_left,26,26,0,0,0.5612146929845468,0.4708548854924919,0.0
Medical-SAM3,CHAOS,liver,43,43,0,25,0.3361566770258979,0.29224794632027523,0.5813953488372093
Medical-SAM3,CHAOS,spleen,24,24,0,0,0.7977761870348403,0.7361687207984002,0.0
Medical-SAM3,CMRxMotions,heart_ventricle_left,110,110,0,2,0.2701836780318792,0.19587876452201736,0.01818181818181818
Medical-SAM3,CMRxMotions,heart_myocardium,110,110,0,2,0.4694661003350851,0.37449778516549,0.01818181818181818
Medical-SAM3,CMRxMotions,heart_ventricle_right,86,86,0,2,0.09295641501281805,0.06217616769851401,0.023255813953488372
Medical-SAM3,COVID19,lung_left,337,337,0,0,0.6268868289864925,0.4659845682302029,0.0
Medical-SAM3,COVID19,lung_right,346,346,0,0,0.6302830445001095,0.4660352720321145,0.0
Medical-SAM3,COVID19,lung_infections,148,148,0,0,0.12303113187022416,0.06761457300898727,0.0
Medical-SAM3,Prostate,prostate_peripheral_zone,36,36,0,0,0.0954615408135257,0.05645899004896468,0.0
Medical-SAM3,Prostate,prostate_transition_zone,52,52,0,0,0.18660484811551736,0.12271124042809708,0.0
Medical-SAM3,SegRap2023,esophagus,506,506,0,73,0.000732974615173327,0.0004000809691289607,0.1442687747035573
Medical-SAM3,SegRap2023,spinal_cord,874,874,0,110,0.007853135755856215,0.004166896134449132,0.12585812356979406
Medical-SAM3,SegRap2023,brain,571,571,0,85,0.7084481995066756,0.6354177426911736,0.14886164623467601
Medical-SAM3,SegRap2023,temporal_lobe_left,240,240,0,73,0.08150506131717734,0.046806570217021615,0.30416666666666664
Medical-SAM3,SegRap2023,temporal_lobe_right,243,243,0,139,0.05316647175352582,0.033475425208578026,0.5720164609053497
Medical-SAM3,SegRap2023,trachea,380,380,0,0,0.3273437120706613,0.24011338808566104,0.0
Medical-SAM3,SegRap2023,thyroid,196,196,0,18,0.0,0.0,0.09183673469387756
Medical-SAM3,SegRap2023,larynx,256,256,0,2,0.03887189248779574,0.02261772870003528,0.0078125
Medical-SAM3,SegRap2023,larynx_glottic,88,88,0,8,0.005345252115525382,0.002752268905268079,0.09090909090909091
Medical-SAM3,SegRap2023,larynx_supraglot,102,102,0,10,0.011703306355465392,0.006224388486005967,0.09803921568627451
Medical-SAM3,SegRap2023,submandibular_right,152,152,0,46,0.0,0.0,0.3026315789473684
Medical-SAM3,SegRap2023,submandibular_left,157,157,0,18,4.160984322451319e-06,2.0811719495482297e-06,0.11464968152866242
Medical-SAM3,SegRap2023,mandible_left,330,330,0,38,0.19217141292108536,0.12782963951593432,0.11515151515151516
Medical-SAM3,SegRap2023,mandible_right,322,322,0,44,0.2543469728604601,0.18301020335651205,0.13664596273291926
Medical-SAM3,SegRap2023,oral_cavity,244,244,0,50,0.02100772147877031,0.012734027537704968,0.20491803278688525
Medical-SAM3,SegRap2023,parotid_left,252,252,0,166,0.0,0.0,0.6587301587301587
Medical-SAM3,SegRap2023,parotid_right,245,245,0,171,0.0,0.0,0.6979591836734694
Medical-SAM3,SegRap2023,brainstem,258,258,0,20,0.08650021162505397,0.0472284033951098,0.07751937984496124
Medical-SAM3,SegRap2023,mastoid_right,161,161,0,6,0.37524264921433564,0.26903377240040416,0.037267080745341616
Medical-SAM3,SegRap2023,mastoid_left,162,162,0,9,0.3919394146971914,0.28045095231736067,0.05555555555555555
Medical-SAM3,SegRap2023,tympanic_cavity_left,46,46,0,3,0.04965184495981213,0.026690973690561826,0.06521739130434782
Medical-SAM3,SegRap2023,temporomandibular_joint_right,45,45,0,9,0.0007265248035578526,0.0003653962302921798,0.2
Medical-SAM3,SegRap2023,eustachian_tube_left,22,22,0,0,0.019687578830479145,0.010305615732115907,0.0
Medical-SAM3,SegRap2023,temporomandibular_joint_left,43,43,0,12,0.0019130199225171995,0.0009722753723543873,0.27906976744186046
Medical-SAM3,SegRap2023,tympanic_cavity_right,46,46,0,1,0.04723880797911175,0.02602220756806891,0.021739130434782608
Medical-SAM3,SegRap2023,eustachian_tube_right,23,23,0,2,0.029769623387196215,0.015804969700690837,0.08695652173913043
Medical-SAM3,SegRap2023,middleear_left,33,33,0,3,0.02211062277261111,0.011464823140611563,0.09090909090909091
Medical-SAM3,SegRap2023,middleear_right,32,32,0,4,0.008831429721326988,0.004474176921376513,0.125
Medical-SAM3,SegRap2023,vestibular_semicircular_canal_left,25,25,0,11,0.001408436934052759,0.0007081224098334143,0.44
Medical-SAM3,SegRap2023,vestibular_semicircular_canal_right,25,25,0,9,0.000993875160940694,0.0005013989614002292,0.36
Medical-SAM3,SegRap2023,eye_right,117,117,0,40,0.0,0.0,0.3418803418803419
Medical-SAM3,SegRap2023,eye_left,114,114,0,46,0.0,0.0,0.40350877192982454
Medical-SAM3,SegRap2023,pituitary,23,23,0,3,0.00019340248853744893,9.691679969651196e-05,0.13043478260869565
Medical-SAM3,SegRap2023,hippocampus_right,64,64,0,52,0.0013078497476698096,0.0006579079817000974,0.8125
Medical-SAM3,SegRap2023,lens_right,37,37,0,1,0.0,0.0,0.02702702702702703
Medical-SAM3,SegRap2023,optic_nerve_left,36,36,0,20,0.0,0.0,0.5555555555555556
Medical-SAM3,SegRap2023,optic_nerve_right,29,29,0,26,0.0,0.0,0.896551724137931
Medical-SAM3,SegRap2023,optic_chiasm,24,24,0,1,0.0011505155806992627,0.0005788069115776842,0.041666666666666664
Medical-SAM3,SegRap2023,lens_left,37,37,0,0,0.0,0.0,0.0
Medical-SAM3,SegRap2023,hippocampus_left,56,56,0,45,0.00036394015730039557,0.000182433037723817,0.8035714285714286
MedSAM3-LoRA,AMOS2022,aorta,282,282,0,0,0.10021122983425967,0.06435759418569627,0.0
MedSAM3-LoRA,AMOS2022,inferior_vena_cava,214,214,0,0,0.036442695443529675,0.01931225633688819,0.0
MedSAM3-LoRA,AMOS2022,duodenum,149,149,0,0,0.037710519886333775,0.020995009839777447,0.0
MedSAM3-LoRA,AMOS2022,kidney_right,168,168,0,1,0.08258664121315597,0.049447371982808755,0.005952380952380952
MedSAM3-LoRA,AMOS2022,kidney_left,159,159,0,0,0.21060686209392526,0.14110236441100185,0.0
MedSAM3-LoRA,AMOS2022,liver,383,383,0,1,0.4862959862193516,0.3519540081961399,0.0026109660574412533
MedSAM3-LoRA,AMOS2022,pancreas,168,168,0,0,0.07281004171024774,0.03914425093379732,0.0
MedSAM3-LoRA,AMOS2022,spleen,224,224,0,0,0.14553323473786742,0.08224987742708145,0.0
MedSAM3-LoRA,AMOS2022,stomach,259,259,0,7,0.07571547394931691,0.042828628610819576,0.02702702702702703
MedSAM3-LoRA,AMOS2022,adrenal_gland_left,88,88,0,1,1.7725216602146879e-06,8.863299558253149e-07,0.011363636363636364
MedSAM3-LoRA,AMOS2022,gallbladder,92,92,0,0,0.04244653894078783,0.021929613978647094,0.0
MedSAM3-LoRA,AMOS2022,adrenal_gland_right,72,72,0,0,0.0004603580283389936,0.000230967388793055,0.0
MedSAM3-LoRA,AMOS2022,esophagus,94,94,0,2,0.006417556772961388,0.0032781683860614213,0.02127659574468085
MedSAM3-LoRA,BraTS,necrotic_tumor_core,417,417,0,29,0.30683201079207606,0.22251589603084346,0.06954436450839328
MedSAM3-LoRA,BraTS,peritumoral_edema,649,649,0,20,0.6129206903510563,0.48374225873396226,0.030816640986132512
MedSAM3-LoRA,BraTS,enhancing_tumor,386,386,0,24,0.3941906033126173,0.2983072694704368,0.06217616580310881
MedSAM3-LoRA,CHAOS,kidney_right,27,27,0,4,0.18033079518006026,0.1428919791725115,0.14814814814814814
MedSAM3-LoRA,CHAOS,kidney_left,26,26,0,1,0.027953537216659975,0.017305258782091174,0.038461538461538464
MedSAM3-LoRA,CHAOS,liver,43,43,0,0,0.6782865968917612,0.5583657783861874,0.0
MedSAM3-LoRA,CHAOS,spleen,24,24,0,0,0.2779646970326454,0.19545832234764068,0.0
MedSAM3-LoRA,CMRxMotions,heart_ventricle_left,110,110,0,0,0.520530937474161,0.37663924446867975,0.0
MedSAM3-LoRA,CMRxMotions,heart_myocardium,110,110,0,2,0.41047862501702775,0.30010924588257487,0.01818181818181818
MedSAM3-LoRA,CMRxMotions,heart_ventricle_right,86,86,0,0,0.48657061919477024,0.35101418221102537,0.0
MedSAM3-LoRA,COVID19,lung_left,337,337,0,109,0.004204910195732984,0.003086988671956748,0.32344213649851633
MedSAM3-LoRA,COVID19,lung_right,346,346,0,108,0.0015875145143750876,0.0007965428117197512,0.31213872832369943
MedSAM3-LoRA,COVID19,lung_infections,148,148,0,27,0.41437990350946596,0.34290697142126164,0.18243243243243243
MedSAM3-LoRA,Prostate,prostate_peripheral_zone,36,36,0,28,0.10178256518331223,0.08521162796050807,0.7777777777777778
MedSAM3-LoRA,Prostate,prostate_transition_zone,52,52,0,43,0.01876141221719704,0.011502961643386109,0.8269230769230769
MedSAM3-LoRA,SegRap2023,esophagus,506,506,0,21,0.018901125101579878,0.011079950688983431,0.041501976284584984
MedSAM3-LoRA,SegRap2023,spinal_cord,874,874,0,64,0.6681514816351554,0.5588167024119942,0.07322654462242563
MedSAM3-LoRA,SegRap2023,brain,571,571,0,2,0.8209378867197586,0.7279120048997773,0.0035026269702276708
MedSAM3-LoRA,SegRap2023,temporal_lobe_left,240,240,0,91,0.0642263231108825,0.03882984180722253,0.37916666666666665
MedSAM3-LoRA,SegRap2023,temporal_lobe_right,243,243,0,105,0.055645096459805934,0.03634382997700916,0.43209876543209874
MedSAM3-LoRA,SegRap2023,trachea,380,380,0,1,0.3607816397918969,0.2680452563288775,0.002631578947368421
MedSAM3-LoRA,SegRap2023,thyroid,196,196,0,6,0.2186950944478517,0.15471944380357552,0.030612244897959183
MedSAM3-LoRA,SegRap2023,larynx,256,256,0,0,0.22338904539687682,0.14032924595082735,0.0
MedSAM3-LoRA,SegRap2023,larynx_glottic,88,88,0,3,0.0006435006435006435,0.00033112582781456954,0.03409090909090909
MedSAM3-LoRA,SegRap2023,larynx_supraglot,102,102,0,0,0.21705781666858,0.12937249166467235,0.0
MedSAM3-LoRA,SegRap2023,submandibular_right,152,152,0,22,0.006040655813036635,0.003706083898383246,0.14473684210526316
MedSAM3-LoRA,SegRap2023,submandibular_left,157,157,0,24,0.000988490436199292,0.0005350552362960492,0.15286624203821655
MedSAM3-LoRA,SegRap2023,mandible_left,330,330,0,15,0.005405344261945032,0.003487529554038906,0.045454545454545456
MedSAM3-LoRA,SegRap2023,mandible_right,322,322,0,20,6.994656333024605e-05,3.5171614237244725e-05,0.062111801242236024
MedSAM3-LoRA,SegRap2023,oral_cavity,244,244,0,38,0.05812961018275193,0.03662893063313184,0.1557377049180328
MedSAM3-LoRA,SegRap2023,parotid_left,252,252,0,23,0.0,0.0,0.09126984126984126
MedSAM3-LoRA,SegRap2023,parotid_right,245,245,0,34,0.044098559498587576,0.032777873435562974,0.13877551020408163
MedSAM3-LoRA,SegRap2023,brainstem,258,258,0,31,0.12312818866652002,0.07359086442297295,0.12015503875968993
MedSAM3-LoRA,SegRap2023,mastoid_right,161,161,0,33,0.002341840117581316,0.0013041280937576305,0.20496894409937888
