model,turn,count,num_valid,num_errors,num_no_pred_mask,mean_dice_weighted,mean_iou_weighted,no_pred_rate,failure_rate
Medical-SAM3,1,3066,3066,0,379,0.3736061433668873,0.3035749386932693,0.12361382909328114,0.0
Medical-SAM3,2,2862,2689,173,277,0.30054577508934327,0.23074537282294025,0.09678546470999301,0.06044723969252271
Medical-SAM3,3,2006,1988,18,371,0.17271796407428994,0.13304871032931814,0.18494516450648055,0.00897308075772682
Medical-SAM3,4,1083,1065,18,389,0.14761370920647696,0.1171766771017399,0.3591874422899354,0.01662049861495845
Medical-SAM3,5,836,836,0,312,0.16898886541979632,0.13231511043982844,0.37320574162679426,0.0
Medical-SAM3,6,693,693,0,191,0.13022352664622788,0.09694963908214144,0.2756132756132756,0.0
Medical-SAM3,7,515,515,0,193,0.09244240619684696,0.07339475078173817,0.37475728155339805,0.0
Medical-SAM3,8,363,363,0,182,0.013846651770785454,0.009395577161617907,0.5013774104683195,0.0
Medical-SAM3,9,241,241,0,148,0.0158467286841515,0.00941532422199489,0.6141078838174274,0.0
Medical-SAM3,10,138,138,0,68,0.030244140849123854,0.017076665425279785,0.4927536231884058,0.0
Medical-SAM3,11,80,80,0,35,0.050457089899500665,0.029398511608439093,0.4375,0.0
Medical-SAM3,12,38,38,0,6,0.06526550640909083,0.03686378952643425,0.15789473684210525,0.0
Medical-SAM3,13,27,27,0,8,0.031014291658351786,0.01753159557487768,0.2962962962962963,0.0
Medical-SAM3,14,17,17,0,5,0.02061269648262888,0.011025893644177664,0.29411764705882354,0.0
Medical-SAM3,15,6,6,0,3,0.0012102596393886115,0.0006062644176863279,0.5,0.0
Medical-SAM3,16,3,3,0,2,0.0,0.0,0.6666666666666666,0.0
MedSAM3-LoRA,1,3066,3066,0,246,0.3197088830316398,0.25922719949345946,0.08023483365949119,0.0
MedSAM3-LoRA,2,2862,2689,173,276,0.29522275550800786,0.2324476088128084,0.09643605870020965,0.06044723969252271
MedSAM3-LoRA,3,2006,1988,18,151,0.27103223563130974,0.2050492882556411,0.07527417746759721,0.00897308075772682
MedSAM3-LoRA,4,1083,1065,18,71,0.1386090753308333,0.09957270658823468,0.06555863342566944,0.01662049861495845
MedSAM3-LoRA,5,836,836,0,56,0.12390188460849724,0.08852530848474757,0.06698564593301436,0.0
MedSAM3-LoRA,6,693,693,0,82,0.13564078424028006,0.09790371647219563,0.11832611832611832,0.0
MedSAM3-LoRA,7,515,515,0,66,0.0399038124900916,0.025375603990264308,0.12815533980582525,0.0
MedSAM3-LoRA,8,363,363,0,55,0.020671979141969908,0.012057552266262423,0.15151515151515152,0.0
MedSAM3-LoRA,9,241,241,0,57,0.023878623504772097,0.014353813809401858,0.23651452282157676,0.0
MedSAM3-LoRA,10,138,138,0,39,0.028513639446840534,0.016803075022990117,0.2826086956521739,0.0
MedSAM3-LoRA,11,80,80,0,28,0.02396836631158892,0.016008895424713725,0.35,0.0
MedSAM3-LoRA,12,38,38,0,23,0.02770476746664462,0.016802759132490436,0.6052631578947368,0.0
MedSAM3-LoRA,13,27,27,0,15,0.027182984727495856,0.016648331016060277,0.5555555555555556,0.0
MedSAM3-LoRA,14,17,17,0,9,0.0,0.0,0.5294117647058824,0.0
MedSAM3-LoRA,15,6,6,0,4,0.0,0.0,0.6666666666666666,0.0
MedSAM3-LoRA,16,3,3,0,1,0.0,0.0,0.3333333333333333,0.0
SAM3,1,3066,3066,0,2492,0.17091760618262694,0.16013967763738074,0.8127853881278538,0.0
SAM3,2,2862,2689,173,1569,0.3359494271902063,0.30827171889821475,0.5482180293501048,0.06044723969252271
SAM3,3,2006,1988,18,1422,0.23503855843350183,0.20992257167187364,0.7088733798604188,0.00897308075772682
SAM3,4,1083,1065,18,864,0.16617871514916296,0.1536832227344036,0.7977839335180056,0.01662049861495845
SAM3,5,836,836,0,642,0.204742591202234,0.18966803900344478,0.7679425837320574,0.0
SAM3,6,693,693,0,533,0.18954221669835353,0.16824785554657606,0.7691197691197691,0.0
SAM3,7,515,515,0,391,0.18458458936748648,0.1604582133920812,0.7592233009708738,0.0
SAM3,8,363,363,0,298,0.13769016201904255,0.11756565734352897,0.8209366391184573,0.0
SAM3,9,241,241,0,218,0.06986106471905099,0.0563067342695581,0.9045643153526971,0.0
SAM3,10,138,138,0,134,0.01455275605045419,0.00976368694154538,0.9710144927536232,0.0
SAM3,11,80,80,0,73,0.022608209229946,0.013757789670580911,0.9125,0.0
SAM3,12,38,38,0,38,0.0,0.0,1.0,0.0
SAM3,13,27,27,0,27,0.0,0.0,1.0,0.0
SAM3,14,17,17,0,17,0.0,0.0,1.0,0.0
SAM3,15,6,6,0,6,0.0,0.0,1.0,0.0
SAM3,16,3,3,0,3,0.0,0.0,1.0,0.0
